node_id,stage_alpha,stage_beta,harmonic_index,fault_status
NODE_1000,223.11,216.07,5.238,0
NODE_1001,243.28,236.89,5.297,0
NODE_1002,235.62,221.27,5.125,1
NODE_1003,230.95,214.0,2.729,1
NODE_1004,215.46,201.17,1.168,1
NODE_1005,215.46,203.74,5.185,0
NODE_1006,212.03,205.48,2.984,0
NODE_1007,240.32,233.5,5.353,0
NODE_1008,231.04,212.65,5.34,1
NODE_1009,234.78,223.19,4.853,0
NODE_1010,210.72,199.14,2.396,0
NODE_1011,243.95,227.68,2.794,1
NODE_1012,239.14,221.72,4.845,1
NODE_1013,217.43,204.44,2.494,0
NODE_1014,216.36,211.3,1.846,0
NODE_1015,216.42,203.3,3.55,0
NODE_1016,220.65,209.86,5.219,0
NODE_1017,228.37,219.73,4.163,0
NODE_1018,225.12,212.02,3.608,1
NODE_1019,220.19,215.42,1.528,0
NODE_1020,231.41,226.27,3.806,0
NODE_1021,214.88,200.94,5.456,1
NODE_1022,220.23,209.18,1.716,0
NODE_1023,222.82,209.02,3.381,1
NODE_1024,225.96,211.75,4.96,1
NODE_1025,237.48,219.01,4.359,1
NODE_1026,216.99,207.57,4.167,0
NODE_1027,228.0,216.63,4.191,0
NODE_1028,230.73,212.99,2.682,1
NODE_1029,211.63,198.23,2.392,0
NODE_1030,231.26,225.37,4.661,0
NODE_1031,215.97,201.8,4.664,0
NODE_1032,212.28,197.14,4.915,1
NODE_1033,243.21,230.9,5.118,0
NODE_1034,243.8,238.71,3.35,0
NODE_1035,238.29,222.69,3.307,0
NODE_1036,220.66,211.91,4.612,0
NODE_1037,213.42,206.1,3.96,0
NODE_1038,233.95,218.57,4.189,0
NODE_1039,225.41,217.22,4.601,0
NODE_1040,214.27,201.86,5.016,0
NODE_1041,227.33,217.77,2.587,0
NODE_1042,211.2,202.34,2.753,0
NODE_1043,241.83,230.25,1.514,0
NODE_1044,219.06,202.72,3.644,1
NODE_1045,233.19,226.22,1.258,0
NODE_1046,220.91,207.49,3.149,0
NODE_1047,228.2,212.5,3.488,1
NODE_1048,229.13,211.36,2.361,0
NODE_1049,216.47,206.83,3.7,0
NODE_1050,243.94,234.34,1.234,0
NODE_1051,237.13,218.4,1.264,0
NODE_1052,242.88,230.91,4.719,1
NODE_1053,241.32,225.29,2.685,0
NODE_1054,230.93,221.39,1.659,0
NODE_1055,242.27,225.42,3.398,1
NODE_1056,213.1,204.88,4.488,0
NODE_1057,216.86,204.54,2.05,0
NODE_1058,211.58,206.55,3.841,0
NODE_1059,221.39,205.5,1.476,1
NODE_1060,223.6,210.29,1.327,0
NODE_1061,219.5,203.43,3.438,0
NODE_1062,239.01,233.15,3.479,0
NODE_1063,222.49,216.4,3.905,0
NODE_1064,219.83,205.65,4.295,0
NODE_1065,228.99,219.74,5.394,0
NODE_1066,214.93,208.28,3.372,0
NODE_1067,238.08,226.96,2.521,0
NODE_1068,212.61,202.36,4.599,0
NODE_1069,244.54,228.53,2.292,1
NODE_1070,237.03,219.39,3.031,1
NODE_1071,216.96,211.28,1.445,0
NODE_1072,210.19,204.73,1.212,0
NODE_1073,238.54,228.52,5.336,0
NODE_1074,234.74,220.74,4.778,0
NODE_1075,235.52,221.61,4.162,1
NODE_1076,236.99,228.36,2.899,0
NODE_1077,212.59,207.03,1.862,0
NODE_1078,222.55,216.59,1.788,0
NODE_1079,214.06,206.95,2.201,0
NODE_1080,240.21,230.25,3.517,0
NODE_1081,231.82,214.44,4.244,0
NODE_1082,221.58,206.0,4.005,1
NODE_1083,212.22,206.69,2.332,0
NODE_1084,220.88,211.25,5.301,0
NODE_1085,221.38,203.79,4.347,0
NODE_1086,235.54,218.13,3.539,0
NODE_1087,232.31,222.98,3.792,0
NODE_1088,241.05,221.84,2.946,1
NODE_1089,226.53,210.59,2.19,1
NODE_1090,214.19,204.1,2.666,0
NODE_1091,234.96,225.92,4.435,0
NODE_1092,236.63,226.95,1.163,0
NODE_1093,229.64,214.36,1.611,1
NODE_1094,236.98,228.15,1.302,0
NODE_1095,227.28,212.34,1.279,0
NODE_1096,228.3,214.49,4.864,0
NODE_1097,224.96,217.04,4.196,0
NODE_1098,210.89,202.24,3.186,0
NODE_1099,213.78,207.57,1.53,0
NODE_1100,211.1,202.54,3.263,0
NODE_1101,232.27,221.61,3.183,0
NODE_1102,221.0,204.56,1.862,0
NODE_1103,227.8,214.6,3.009,0
NODE_1104,241.76,226.27,2.853,1
NODE_1105,218.73,204.43,3.81,0
NODE_1106,224.36,219.51,3.894,0
NODE_1107,236.44,223.11,1.299,0
NODE_1108,218.01,212.24,2.748,0
NODE_1109,212.69,203.73,3.854,0
NODE_1110,220.14,213.03,3.314,0
NODE_1111,215.64,204.89,4.869,1
NODE_1112,242.54,231.53,3.998,0
NODE_1113,238.28,226.26,1.817,0
NODE_1114,232.17,216.32,1.411,0
NODE_1115,240.5,231.69,3.927,1
NODE_1116,238.13,223.09,1.217,0
NODE_1117,216.53,199.52,3.677,1
NODE_1118,241.24,231.28,5.237,1
NODE_1119,228.88,213.0,3.632,1
